buy,0,0,33,150.0,-4970.0
sell,7,0,33.0,142.03,4707.04
buy,49,0,37,132.23,-4912.5
buy,56,0,37,132.93,-4938.58
buy,63,0,39,127.22,-4981.63
buy,70,0,40,121.89,-4895.43
buy,77,0,40,122.98,-4939.29
sell,84,0,193.0,119.64,23109.9
buy,112,0,44,111.41,-4922.08
sell,119,0,44.0,107.27,4739.75
buy,168,0,66,75.4,-4996.3
buy,175,0,63,78.09,-4939.91
buy,182,0,61,80.45,-4927.21
buy,189,0,63,77.97,-4932.41
buy,203,0,56,88.49,-4975.44
buy,210,0,56,88.82,-4994.02
buy,217,0,57,87.36,-4999.68
sell,224,0,422.0,84.88,35841.07
buy,231,0,60,81.95,-4936.72
sell,245,0,60.0,92.45,5566.81
buy,266,0,42,117.34,-4948.45
buy,287,0,40,122.08,-4903.23
buy,294,0,42,118.2,-4984.2
buy,308,0,42,116.72,-4922.06
buy,315,0,44,111.5,-4925.99
sell,322,0,210.0,104.68,22003.59
buy,350,0,44,112.18,-4955.74
sell,371,0,44.0,123.56,5456.45
buy,399,0,39,125.2,-4902.85
buy,406,0,40,123.22,-4948.96
buy,413,0,40,122.09,-4903.44
sell,420,0,119.0,112.17,13368.32
buy,455,0,46,107.09,-4945.98
buy,469,0,48,103.37,-4981.57
buy,483,0,47,105.47,-4977.04
buy,490,0,46,106.0,-4896.12
sell,499,0,187.0,99.72,18667.66
